date,hour,corridor_route,speed
2020-03-07,19,I-35,82.8448366222857
2020-03-07,20,I-35,82.6092943435955
2020-03-07,21,I-35,82.0966698076178
2020-03-07,22,I-35,81.8899002909622
2020-03-07,23,I-35,81.5623573428353
2020-03-08,1,I-35,77.3524549701512
2020-03-08,2,I-35,21.7991531307935
2020-03-08,3,I-35,76.1304897882818
2020-03-08,4,I-35,77.0302262712723
2020-03-08,5,I-35,77.5031559638599
2020-03-08,6,I-35,77.8912749609569
2020-03-08,7,I-35,81.4085617439229
2020-03-08,8,I-35,78.9570044532639
2020-03-08,9,I-35,82.1543684257913
2020-03-08,10,I-35,82.6274725422432
2020-03-08,11,I-35,83.4548437651776
2020-03-08,12,I-35,83.1468137804833
2020-03-08,13,I-35,82.1441382891391
2020-03-08,14,I-35,82.8469533014602
2020-03-08,15,I-35,82.2204205441241
2020-03-08,16,I-35,81.5425594924486
2020-03-08,17,I-35,82.4281849365765
2020-03-08,18,I-35,77.866749968245
2020-03-08,19,I-35,78.2214155441955
2020-03-08,20,I-35,81.7970290805738
2020-03-08,21,I-35,80.025035094608
2020-03-08,22,I-35,78.1344178708796
2020-03-08,23,I-35,76.9440429871627
2020-03-09,1,I-35,69.1099867163037
2020-03-09,2,I-35,65.4035674618404
2020-03-09,3,I-35,66.7568068977371
2020-03-09,4,I-35,68.0726764930142
2020-03-09,5,I-35,71.7901094154565
2020-03-09,6,I-35,75.1413497520429
2020-03-09,7,I-35,76.5575979078702
2020-03-09,8,I-35,74.0148825876361
2020-03-09,9,I-35,73.2309487109734
2020-03-09,10,I-35,71.7368566878288
2020-03-09,11,I-35,72.5854930609706
2020-03-09,12,I-35,72.5959610517348
2020-03-09,13,I-35,73.9466244608668
2020-03-09,14,I-35,75.3585113627869
2020-03-09,15,I-35,76.9977818655319
2020-03-09,16,I-35,78.057665185216
2020-03-09,17,I-35,75.8224580561913
2020-03-09,18,I-35,76.7909647990837
2020-03-09,19,I-35,75.4627517672915
2020-03-09,20,I-35,75.3281531943348
2020-03-09,21,I-35,75.6728330498746
2020-03-09,22,I-35,71.8843909219099
2020-03-09,23,I-35,70.694036710098
2020-03-10,1,I-35,64.8856060912229
2020-03-10,2,I-35,63.6341954760216
2020-03-10,3,I-35,62.1316692458627
2020-03-10,4,I-35,62.8903241497808
2020-03-10,5,I-35,69.6138301339458
2020-03-10,6,I-35,73.1323449871713
2020-03-10,7,I-35,68.8728233678597
2020-03-10,8,I-35,70.0549308766994
2020-03-10,9,I-35,72.7767722214483
2020-03-10,10,I-35,71.4657651988183
2020-03-10,11,I-35,71.945334398502
2020-03-10,12,I-35,72.5560640178772
2020-03-10,13,I-35,73.8210285082565
2020-03-10,14,I-35,74.8048203216687
2020-03-10,15,I-35,77.3819753828321
2020-03-10,16,I-35,78.8496807970133
2020-03-10,17,I-35,77.6010224715599
2020-03-10,18,I-35,77.0114251606923
2020-03-10,19,I-35,70.030693555208
2020-03-10,20,I-35,65.463835469896
2020-03-10,21,I-35,63.414881530465
2020-03-10,22,I-35,61.4946147007545
2020-03-10,23,I-35,63.334687756759
2020-03-11,1,I-35,62.5923821076871
2020-03-11,2,I-35,60.6735391419207
2020-03-11,3,I-35,60.3702502766731
2020-03-11,4,I-35,63.2155895398141
2020-03-11,5,I-35,69.0306298703698
2020-03-11,6,I-35,72.48004068928
2020-03-11,7,I-35,71.3709365455286
2020-03-11,8,I-35,72.4388163775713
2020-03-11,9,I-35,70.7054346642379
2020-03-11,10,I-35,70.3115105935063
2020-03-11,11,I-35,70.7171612461503
2020-03-11,12,I-35,71.6244856664354
2020-03-11,13,I-35,72.207656062694
2020-03-11,14,I-35,73.89985930051
2020-03-11,15,I-35,76.2779882697356
2020-03-11,16,I-35,77.2519139381969
2020-03-11,17,I-35,78.4152546200775
2020-03-11,18,I-35,77.1642498520755
2020-03-11,19,I-35,77.7000648530653
2020-03-11,20,I-35,76.4131152558151
2020-03-11,21,I-35,73.7325928609741
2020-03-11,22,I-35,72.926593787386
2020-03-11,23,I-35,70.2910951307608
2020-03-12,1,I-35,65.3288644747086
2020-03-12,2,I-35,61.2929780523832
2020-03-12,3,I-35,59.851762395882
2020-03-12,4,I-35,64.0124052776612
2020-03-12,5,I-35,71.1422558911137
2020-03-12,6,I-35,73.3849299579903
2020-03-12,7,I-35,71.8224659503825
2020-03-12,8,I-35,72.3184228579157
2020-03-12,9,I-35,70.7912160684639
2020-03-12,10,I-35,70.494774541651
2020-03-12,11,I-35,70.1997554670438
2020-03-12,12,I-35,71.4220542787804
2020-03-12,13,I-35,73.0778839653059
2020-03-12,14,I-35,75.094348347883
2020-03-12,15,I-35,76.9301921143333
2020-03-12,16,I-35,76.6771034989914
2020-03-12,17,I-35,77.758871179619
2020-03-12,18,I-35,77.9848710645776
2020-03-12,19,I-35,77.8519715934237
2020-03-12,20,I-35,76.2008057861925
2020-03-12,21,I-35,75.1681925639335
2020-03-12,22,I-35,73.7498330103742
2020-03-12,23,I-35,71.524762237263
2020-03-13,1,I-35,66.7990745642718
2020-03-13,2,I-35,62.7686151281999
2020-03-13,3,I-35,63.0966896472064
2020-03-13,4,I-35,64.0715277325801
2020-03-13,5,I-35,68.7614009555306
2020-03-13,6,I-35,73.5855342137855
2020-03-13,7,I-35,75.2019455858812
2020-03-13,8,I-35,73.468260859581
2020-03-13,9,I-35,72.4846807465765
2020-03-13,10,I-35,72.3253376445704
2020-03-13,11,I-35,74.5828049683869
2020-03-13,12,I-35,75.0592025880766
2020-03-13,13,I-35,76.0628556265776
2020-03-13,14,I-35,76.7546389652442
2020-03-13,15,I-35,77.8414431263156
2020-03-13,16,I-35,79.6072435992219
2020-03-13,17,I-35,81.1038974288377
2020-03-13,18,I-35,79.3830960580532
2020-03-13,19,I-35,78.4454837241358
2020-03-13,20,I-35,79.1905709761246
2020-03-13,21,I-35,77.2175964389365
2020-03-13,22,I-35,77.4439722218991
2020-03-13,23,I-35,75.1887672015755
2020-03-14,1,I-35,70.8288108770079
2020-03-14,2,I-35,71.4944290735857
2020-03-14,3,I-35,69.5756326688211
2020-03-14,4,I-35,62.9845286143144
2020-03-14,5,I-35,69.2635137214138
2020-03-14,6,I-35,72.0622971839908
2020-03-14,7,I-35,78.8107751669422
2020-03-14,8,I-35,78.3913507281666
2020-03-14,9,I-35,79.5303109951284
2020-03-14,10,I-35,81.1185178700769
2020-03-14,11,I-35,81.02465011465
2020-03-14,12,I-35,79.1455437461772
2020-03-14,13,I-35,81.4756929852593
2020-03-14,14,I-35,80.7471126506325
2020-03-14,15,I-35,82.6675134013107
2020-03-14,16,I-35,84.4612509499362
2020-03-14,17,I-35,82.2169705758251
2020-03-14,18,I-35,81.8462636431674
2020-03-14,19,I-35,80.6266386270068
2020-03-14,20,I-35,81.4018005329552
2020-03-14,21,I-35,80.1105754686282
2020-03-14,22,I-35,79.6242428452607
2020-03-14,23,I-35,79.6265291065485
2020-03-15,1,I-35,74.0188249452415
2020-03-15,2,I-35,74.4911854479428
2020-03-15,3,I-35,74.9138413664992
2020-03-15,4,I-35,73.561424881829
2020-03-15,5,I-35,72.4021219450922
2020-03-15,6,I-35,77.1955594215177
2020-03-15,7,I-35,77.7890716624962
2020-03-15,8,I-35,77.2679290007987
2020-03-15,9,I-35,80.2931339753902
2020-03-15,10,I-35,80.5319345282721
2020-03-15,11,I-35,82.0504810003434
2020-03-15,12,I-35,82.2732167134532
2020-03-15,13,I-35,82.2865010738846
2020-03-15,14,I-35,83.4512112268898
2020-03-15,15,I-35,82.389951890044
2020-03-15,16,I-35,81.7728017075772
2020-03-15,17,I-35,82.3141612879463
2020-03-15,18,I-35,80.2758823096891
2020-03-15,19,I-35,80.0124076829486
2020-03-15,20,I-35,77.8247247194838
2020-03-15,21,I-35,77.4018955396961
2020-03-15,22,I-35,76.8016329658041
2020-03-15,23,I-35,74.8295234599053
2020-03-16,1,I-35,71.789341831925
2020-03-16,2,I-35,66.2393781824862
2020-03-16,3,I-35,68.7652386005651
2020-03-16,4,I-35,71.0376149195115
2020-03-16,5,I-35,72.6542682074559
2020-03-16,6,I-35,76.4062361729492
2020-03-16,7,I-35,75.7617301013574
2020-03-16,8,I-35,74.2578368460568
2020-03-16,9,I-35,70.8918498139954
2020-03-16,10,I-35,70.4322982324293
2020-03-16,11,I-35,70.7974732942097
2020-03-16,12,I-35,71.5881370973124
2020-03-16,13,I-35,72.397475574261
2020-03-16,14,I-35,73.2926311475591
2020-03-16,15,I-35,75.1539679331207
2020-03-16,16,I-35,75.4706082151642
2020-03-16,17,I-35,76.9569907878148
2020-03-16,18,I-35,75.2531342113199
2020-03-16,19,I-35,76.7964665007569
2020-03-16,20,I-35,73.707638111081
2020-03-16,21,I-35,73.8299976237109
2020-03-16,22,I-35,71.9757407286297
2020-03-16,23,I-35,69.3490116157962
2020-03-17,1,I-35,64.8983883356253
2020-03-17,2,I-35,62.0535974690654
2020-03-17,3,I-35,64.7413592257052
2020-03-17,4,I-35,61.5741619180338
2020-03-17,5,I-35,68.7931346971074
2020-03-17,6,I-35,73.6197101583112
2020-03-17,7,I-35,74.2931238761785
2020-03-17,8,I-35,73.20306745318
2020-03-17,9,I-35,70.4763060918687
2020-03-17,10,I-35,69.7471141191701
2020-03-17,11,I-35,70.2171566143582
2020-03-17,12,I-35,71.3941214131241
2020-03-17,13,I-35,72.7350425617166
2020-03-17,14,I-35,74.1098641653893
2020-03-17,15,I-35,76.4878431105339
2020-03-17,16,I-35,78.5654623262823
2020-03-17,17,I-35,76.426531220302
2020-03-17,18,I-35,76.2741276857723
2020-03-17,19,I-35,77.2767619431722
2020-03-17,20,I-35,74.6909537671062
2020-03-17,21,I-35,73.1678902720826
2020-03-17,22,I-35,71.3145325585337
2020-03-17,23,I-35,69.5573151198209
2020-03-18,1,I-35,66.0464081471724
2020-03-18,2,I-35,61.3629098753327
2020-03-18,3,I-35,61.9545303898405
2020-03-18,4,I-35,63.8856081229732
2020-03-18,5,I-35,69.8435797009783
2020-03-18,6,I-35,72.9093835906928
2020-03-18,7,I-35,74.0004531740909
2020-03-18,8,I-35,69.5831133023067
2020-03-18,9,I-35,67.9988296131785
2020-03-18,10,I-35,67.7090220792863
2020-03-18,11,I-35,69.1704965055251
2020-03-18,12,I-35,70.7141591142493
2020-03-18,13,I-35,71.3843364336448
2020-03-18,14,I-35,73.5560539580101
2020-03-18,15,I-35,75.5902485194798
2020-03-18,16,I-35,77.6574897340124
2020-03-18,17,I-35,76.3582969435436
2020-03-18,18,I-35,76.667996600274
2020-03-18,19,I-35,74.3011071316723
2020-03-18,20,I-35,71.1045706133224
2020-03-18,21,I-35,70.1961610862555
2020-03-18,22,I-35,70.1101875768173
2020-03-18,23,I-35,67.6904547404344
2020-03-19,1,I-35,59.6272030008918
2020-03-19,2,I-35,59.4294493661952
2020-03-19,3,I-35,53.3974156864304
2020-03-19,4,I-35,57.4718940255141
2020-03-19,5,I-35,65.6989937700772
2020-03-19,6,I-35,68.8195962753268
2020-03-19,7,I-35,69.3725786847483
2020-03-19,8,I-35,67.3568049650321
2020-03-19,9,I-35,63.637961676123
2020-03-19,10,I-35,64.274829669805
2020-03-19,11,I-35,65.8584423679483
2020-03-19,12,I-35,66.2876508428943
2020-03-19,13,I-35,68.063676135609
2020-03-19,14,I-35,68.3477185432735
2020-03-19,15,I-35,70.5396050123248
2020-03-19,16,I-35,73.4987303156418
2020-03-19,17,I-35,73.2428993732631
2020-03-19,18,I-35,71.8549326812807
2020-03-19,19,I-35,72.923390135759
2020-03-19,20,I-35,70.7293939839106
2020-03-19,21,I-35,67.2328272171787
2020-03-19,22,I-35,67.1008759709389
2020-03-19,23,I-35,64.1649142547162
2020-03-20,1,I-35,62.7865085512945
2020-03-20,2,I-35,57.8381321369555
2020-03-20,3,I-35,59.6030549876918
2020-03-20,4,I-35,59.9999493430811
2020-03-20,5,I-35,66.9381937210955
2020-03-20,6,I-35,68.1685077790098
2020-03-20,7,I-35,70.8089650177411
2020-03-20,8,I-35,68.994571674474
2020-03-20,9,I-35,65.889434163327
2020-03-20,10,I-35,68.4308981095796
2020-03-20,11,I-35,70.3218039187428
2020-03-20,12,I-35,72.9525642387376
2020-03-20,13,I-35,72.6960688318977
2020-03-20,14,I-35,74.7664893413589
2020-03-20,15,I-35,77.338049272681
2020-03-20,16,I-35,78.0284119642982
2020-03-20,17,I-35,77.3072826950365
2020-03-20,18,I-35,76.8076051463227
2020-03-20,19,I-35,77.181710032505
2020-03-20,20,I-35,75.2113964241036
2020-03-20,21,I-35,72.1500605756236
2020-03-20,22,I-35,74.8939756436392
2020-03-20,23,I-35,71.947505320854
2020-03-21,1,I-35,69.0909845953397
2020-03-21,2,I-35,64.4498389708804
2020-03-21,3,I-35,60.753743500421
2020-03-21,4,I-35,65.1499109359453
2020-03-21,5,I-35,62.4263032466867
2020-03-21,6,I-35,72.0745486335796
2020-03-21,7,I-35,73.5886752930329
2020-03-21,8,I-35,74.719083380436
2020-03-21,9,I-35,76.0398852882218
2020-03-21,10,I-35,77.4433780321015
2020-03-21,11,I-35,78.5099874048534
2020-03-21,12,I-35,78.6450735375162
2020-03-21,13,I-35,79.3567113725955
2020-03-21,14,I-35,81.0077158466668
2020-03-21,15,I-35,80.9889100225888
2020-03-21,16,I-35,78.6537995785996
2020-03-21,17,I-35,80.4926127929512
2020-03-21,18,I-35,79.22975304369
2020-03-21,19,I-35,79.0914277532191
2020-03-21,20,I-35,78.4057166667831
2020-03-21,21,I-35,77.4345510863048
2020-03-21,22,I-35,74.4863594037971
2020-03-21,23,I-35,74.3450277226245
2020-03-22,1,I-35,75.4346476972315
2020-03-22,2,I-35,69.878980981199
2020-03-22,3,I-35,67.679912439366
2020-03-22,4,I-35,71.0081557660652
2020-03-22,5,I-35,74.559129217151
2020-03-22,6,I-35,75.6970227559398
2020-03-22,7,I-35,75.5776748962038
2020-03-22,8,I-35,77.3354497250481
2020-03-22,9,I-35,77.6754717892337
2020-03-22,10,I-35,78.2400256403383
2020-03-22,11,I-35,79.2423083754717
2020-03-22,12,I-35,77.2614297333481
2020-03-22,13,I-35,79.4917326969517
2020-03-22,14,I-35,80.6614611693812
2020-03-22,15,I-35,79.5829289998222
2020-03-22,16,I-35,79.5622682768993
2020-03-22,17,I-35,80.3109217471222
2020-03-22,18,I-35,79.4083449869769
2020-03-22,19,I-35,77.7936906363787
2020-03-22,20,I-35,77.3139966716513
2020-03-22,21,I-35,76.5289336195182
2020-03-22,22,I-35,75.6118043600532
2020-03-22,23,I-35,72.3767264425077
2020-03-23,1,I-35,62.9704944010699
2020-03-23,2,I-35,62.1384230819127
2020-03-23,3,I-35,59.281357646523
2020-03-23,4,I-35,64.5795522408617
2020-03-23,5,I-35,71.9044677237289
2020-03-23,6,I-35,72.7354062742857
2020-03-23,7,I-35,71.4459022499749
2020-03-23,8,I-35,67.3758626092868
2020-03-23,9,I-35,64.8941363574203
2020-03-23,10,I-35,65.1548971033974
2020-03-23,11,I-35,66.6262944784234
2020-03-23,12,I-35,68.1612613215341
2020-03-23,13,I-35,69.2852696721054
2020-03-23,14,I-35,70.4359858359892
2020-03-23,15,I-35,73.2517154082324
2020-03-23,16,I-35,74.1757639639303
2020-03-23,17,I-35,75.7793566312732
2020-03-23,18,I-35,74.1181973438127
2020-03-23,19,I-35,72.5216318096254
2020-03-23,20,I-35,71.3960008143033
2020-03-23,21,I-35,69.7851208320238
2020-03-23,22,I-35,68.4230269893935
2020-03-23,23,I-35,67.7492937170378
2020-03-24,1,I-35,60.9642202350326
2020-03-24,2,I-35,59.686199571291
2020-03-24,3,I-35,60.381087793177
2020-03-24,4,I-35,61.9779437479443
2020-03-24,5,I-35,69.5096830498269
2020-03-24,6,I-35,70.8161404952765
2020-03-24,7,I-35,73.0448060280811
2020-03-24,8,I-35,67.5416866401327
2020-03-24,9,I-35,65.22261007254
2020-03-24,10,I-35,64.9580509191998
2020-03-24,11,I-35,66.1430046430737
2020-03-24,12,I-35,66.9546620614778
2020-03-24,13,I-35,70.238563673323
2020-03-24,14,I-35,69.7596729595778
2020-03-24,15,I-35,71.9396651613668
2020-03-24,16,I-35,74.4212885184367
2020-03-24,17,I-35,73.8652902827147
2020-03-24,18,I-35,72.8859100769546
2020-03-24,19,I-35,71.837535331094
2020-03-24,20,I-35,70.0130534257323
2020-03-24,21,I-35,67.212098986519
2020-03-24,22,I-35,67.1057338593395
2020-03-24,23,I-35,65.6226853676957
2020-03-25,1,I-35,63.3121887001064
2020-03-25,2,I-35,56.7799602971773
2020-03-25,3,I-35,62.1280478110782
2020-03-25,4,I-35,63.7338363470533
2020-03-25,5,I-35,70.8773714775925
2020-03-25,6,I-35,70.0913901322732
2020-03-25,7,I-35,70.6950711863527
2020-03-25,8,I-35,66.1608139570974
2020-03-25,9,I-35,64.3068681789986
2020-03-25,10,I-35,64.3513851280856
2020-03-25,11,I-35,64.9789487483367
